Status-ID,Kategorie,Linie,Fahrtnummer,"Abfahrtsstation Name","Abfahrtsstation Koordinaten","Abfahrt geplant","Abfahrt real","Zielstation Name","Zielstation Koordinaten","Ankunft geplant","Ankunft real",Reisezeit,Distanz,Punkte,Status-Nachricht,Fahrtzweck,Betreiber
4078366,subway,"U 1",6290,"Stephansplatz (Oper/CCH), Hamburg","53.558549,9.989317",2024-12-29T02:02:00+00:00,2024-12-29T02:03:00+00:00,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-29T02:08:00+00:00,2024-12-29T02:08:00+00:00,5,3744,3,,PRIVATE,
4078374,subway,"U 3",19170,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-29T02:08:00+00:00,2024-12-29T02:08:00+00:00,"Borgweg (Stadtpark), Hamburg","53.590766,10.014603",2024-12-29T02:11:00+00:00,2024-12-29T02:11:00+00:00,3,1568,3,,PRIVATE,
4080276,subway,"U 3",18376,"Borgweg (Stadtpark), Hamburg","53.590766,10.014603",2024-12-29T11:51:00+00:00,2024-12-29T11:51:00+00:00,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-29T11:54:00+00:00,2024-12-29T11:54:00+00:00,3,1568,3,,PRIVATE,
4080281,subway,"U 1",5885,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-29T11:54:00+00:00,2024-12-29T11:54:00+00:00,"Stephansplatz (Oper/CCH), Hamburg","53.558549,9.989317",2024-12-29T12:00:00+00:00,2024-12-29T12:00:00+00:00,6,3744,3,,PRIVATE,
4087411,subway,"U 3",18383,"Borgweg (Stadtpark), Hamburg","53.590766,10.014603",2024-12-30T13:01:00+00:00,2024-12-30T13:01:00+00:00,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-30T13:04:00+00:00,2024-12-30T13:04:00+00:00,3,1568,3,,PRIVATE,
4087418,subway,"U 1",6114,"Kellinghusenstraße, Hamburg","53.588968,9.991151",2024-12-30T13:04:00+00:00,2024-12-30T13:04:00+00:00,"Stephansplatz (Oper/CCH), Hamburg","53.558549,9.989317",2024-12-30T13:10:00+00:00,2024-12-30T13:10:00+00:00,6,3744,3,,PRIVATE,
4089428,suburban,"S 2",42677,"Hamburg Dammtor","53.560841,9.989533",2024-12-30T16:37:00+00:00,2024-12-30T16:37:00+00:00,"Hamburg Hbf","53.553533,10.00636",2024-12-30T16:39:00+00:00,2024-12-30T16:39:00+00:00,2,1503,4,,PRIVATE,"S-Bahn Hamburg GmbH"
4089709,regional,"RE 8",11428,"Hamburg Hbf","53.553533,10.00636",2024-12-30T17:06:00+00:00,2024-12-30T17:06:00+00:00,"Lübeck Hbf","53.86767,10.669737",2024-12-30T17:52:00+00:00,2024-12-30T17:52:00+00:00,46,62689,13,,PRIVATE,"DB Regio Nord"
4090163,bus,"Bus 10",1427,"ZOB/Hauptbahnhof, Lübeck","53.86598,10.670789",2024-12-30T18:01:00+00:00,2024-12-30T18:02:00+00:00,"Grootkoppel 1, Lübeck","53.869989,10.742676",2024-12-30T18:22:00+00:00,2024-12-30T18:24:00+00:00,22,5596,3,"Elektrobus! Ich arbeite als Elektrobus 🎶",PRIVATE,
4091022,bus,"Bus 10",1281,"Grootkoppel 1, Lübeck","53.869989,10.742676",2024-12-30T20:08:00+00:00,2024-12-30T20:10:00+00:00,"Heinrichstraße, Lübeck","53.874574,10.712193",2024-12-30T20:14:00+00:00,2024-12-30T20:15:00+00:00,5,2077,3,,PRIVATE,
